id,observed_on,quality_grade,place_guess,latitude,longitude,private_latitude,private_longitude,scientific_name,common_name
9045042,2017-07-02,research,"Dry Creek Pioneer Regional Park, Union City, CA, USA",37.6132943015,-121.9919243835,,,Asclepias eriocarpa,woollypod milkweed
9045336,2017-04-30,research,"Santa Clara County, CA, USA",37.1586577646,-121.7829751968,,,Micropus californicus,Q-tips
9045414,2016-04-10,research,"Henry Cowell Redwoods State Park, Fall Creek Unit, CA, USA",37.0553954603,-122.0865973157,,,Cardamine californica,milkmaids
9047059,2016-09-05,needs_id,"Castle Rock State Park, CA, USA",37.239273,-122.113476,,,Solidago velutina californica,California goldenrod
9047070,2016-09-05,needs_id,"Castle Rock State Park, CA, USA",37.2413976454,-122.1116665977,,,Solidago velutina californica,California goldenrod
9047194,2017-10-29,needs_id,"Phegley Ridge, Henry Coe State Park, CA, USA",37.0619923177,-121.4132165909,,,Holocarpha heermannii,Heermann's tarweed
9047264,2017-04-16,research,"Edgewood Park, Redwood City, CA, USA",37.4728102901,-122.2804766893,,,Trifolium campestre,hop trefoil
9047339,2016-03-12,needs_id,"Almaden Quicksilver County Park, San Jose, CA, USA",37.1876726492,-121.8469619751,,,Sanicula bipinnata,Poison sanicle
9047403,2016-02-28,needs_id,"Edgewood Park, CA, USA",37.4662176,-122.282546,,,Acacia dealbata,Silver wattle
9047432,2017-03-23,research,"Bay Trail, Sunnyvale, CA, USA",37.4174986227,-121.9980454445,,,Calendula arvensis,field marigold
9047472,2015-05-16,needs_id,"Coyote Lake County Park, CA, USA",37.0703820615,-121.5244317043,,,Gazania linearis,striped treasureflower
9047568,2017-05-25,needs_id,"Monte Bello Open Space Preserve, CA, USA",37.3229180962,-122.1854084736,,,Agoseris hirsuta,Coast Range Agoseris
9047665,2016-10-04,needs_id,"Hawaii, US",22.0001745939,-159.6034693583,22.1362533729,-159.612336157,Dianella sandwicensis,'uki'uki
9047690,2017-11-12,research,"Poomau Canyon Ditch Trail, Kauai",22.1317464102,-159.631921649,,,Zantedeschia aethiopica,calla lily
9047728,2017-11-10,research,"Moalepe Trail, Kauai",22.0840919729,-159.3857334408,,,Mimosa pudica,Sensitive Plant
9047867,2017-11-06,research,"Kuilau Ridge Trail, Kauai",22.1005117296,-159.4071578979,,,Pterolepis glomerata,
9062291,2016-08-28,research,"Rancho San Antonio, Santa Clara County, CA, USA",37.3465361068,-122.140783941,,,Lonicera hispidula,Pink Honeysuckle
9062292,2016-08-28,needs_id,"Rancho San Antonio, Santa Clara County, CA, USA",37.3465885034,-122.1404638897,,,Stephanomeria virgata,rod wirelettuce
9062293,2016-08-28,research,"Rancho San Antonio, Santa Clara County, CA, USA",37.3467932043,-122.140635551,,,Heteromeles arbutifolia,Toyon
9066532,2015-05-17,research,"Castle Rock State Park, Santa Cruz County, CA, USA",37.2342601659,-122.1075907377,,,Lysimachia latifolia,Western Star Flower
9070970,2017-03-08,research,"Monte Bello Open Space Preserve, Santa Clara County, CA, USA",37.3034250288,-122.1283958108,,,Pedicularis densiflora,Indian Warrior
9074150,2017-03-12,research,"Coyote Lake County Park, Santa Clara County, CA, USA",37.0739276159,-121.5284268558,,,Calandrinia menziesii,red maids
9074190,2017-03-19,needs_id,"Calera Creek Trail, Ed R. Levin County Park, Milpitas, CA, USA",37.4599900745,-121.8734836578,,,Sinapis arvensis,Wild Mustard
9074244,2017-03-25,research,"Purisima Creek Redwoods Open Space Preserve, CA, USA",37.4371330467,-122.3695206642,,,Myosotis latifolia,broadleaf forget-me-not
9074269,2017-03-25,needs_id,"Purisima Creek Redwoods Open Space Preserve, San Mateo County, CA, USA",37.4484751279,-122.3511099815,,,Genisteae,
9089254,2016-12-04,research,"Woods Trail, Sierra Azul Open Space Preserve, San Jose, CA, USA",37.1726622143,-121.8838262558,,,Heteromeles arbutifolia,Toyon
9103964,2007-06-18,research,"Coral Pink Sand Dunes State Park, UT, USA",37.0335801471,-112.7290606499,,,Scabrethia scabra,Badlands Mule-ears
9104357,2014-07-17,research,"Törbel, Switzerland",46.2336465896,7.8286165492,,,Dianthus carthusianorum,Carthusian Pink
9104453,2014-07-22,research,"Lauterbrunnen, Switzerland",46.5546617862,7.8929263921,,,Echium vulgare,viper's-bugloss
9118855,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",37.4511325806,-121.8602013588,,,Baccharis pilularis,coyote brush
9118856,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",37.4511432273,-121.8601933122,,,Baccharis pilularis,coyote brush
9118857,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",37.4452979852,-121.8593966961,,,Artemisia californica,California sagebrush
9118858,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",37.4468397255,-121.8552553654,,,Centaurea calcitrapa,purple star-thistle
9119142,2017-12-10,needs_id,"Ed R. Levin County Park, Milpitas, CA, USA",37.4572051868,-121.8664133545,,,Eucalyptus,eucalyptus
9119143,2017-12-10,needs_id,"Ed R. Levin County Park, Milpitas, CA, USA",37.4572477703,-121.8664348123,,,Eucalyptus,eucalyptus
9121404,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",37.4433303037,-121.8533349037,,,Heteromeles arbutifolia,Toyon
9147711,2017-12-13,research,"Sierra Azul, Santa Clara County, CA, USA",37.1653781724,-121.8901777267,,,Eriodictyon californicum,California yerba santa
9186756,2017-12-17,research,"Sibley Volcanic Regional Preserve, Contra Costa County, CA, USA",37.8571725573,-122.2002437711,,,Umbellularia californica,California bay
9186757,2017-12-17,needs_id,"Sibley Volcanic Regional Preserve, Contra Costa County, CA, USA",37.8476972717,-122.1935248375,,,Cotoneaster,Cotoneaster
9187682,2017-12-17,needs_id,"California, US",37.9074109822,-122.0495780346,37.8393974545,-122.1869755536,Arctostaphylos pallida,Pallid manzanita
9229051,2017-12-21,research,"Henry W. Coe State Park, CA, USA",37.1738248602,-121.4949703217,,,Heteromeles arbutifolia,Toyon
9229052,2017-12-21,needs_id,"Henry W. Coe State Park, CA, USA",37.1764492967,-121.5104520321,,,Arctostaphylos manzanita,Common Manzanita
9229053,2017-12-21,needs_id,"Henry W. Coe State Park, CA, USA",37.1800652275,-121.5249896049,,,Phoradendron leucarpum tomentosum,Pacific mistletoe
9326076,2017-12-31,needs_id,"Windy Hill Open Space Preserve, Portola Valley, CA, USA",37.365458915,-122.237995863,,,Rubus,brambles
9328567,2016-12-28,casual,"Pennsylvania, US",40.116424477,-77.0902916755,40.1691179474,-77.0216274057,Hedera helix,common ivy
9399062,2018-01-07,needs_id,"Mt. Madonna County Park, Santa Clara County, CA, USA",37.0179994622,-121.6965812445,,,Arctostaphylos,bearberries and manzanitas
9399063,2018-01-07,needs_id,"Mt. Madonna County Park, Santa Clara County, CA, USA",37.017995179,-121.6965946555,,,Arctostaphylos,bearberries and manzanitas
9435473,2018-01-07,research,"Mt. Madonna County Park, Santa Clara County, CA, USA",37.0187019038,-121.6871184111,,,Quercus agrifolia,coast live oak
9476646,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",37.3424749394,-122.2958403826,,,Umbellularia californica,California bay
9557429,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",37.0886399885,-121.5456984195,,,Cardamine californica,milkmaids
9557431,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",37.0846440459,-121.5367934856,,,Heteromeles arbutifolia,Toyon
9591627,2018-01-23,research,"Monte Bellow Open Space Preserve, Palo Alto, CA, USA",37.2994730366,-122.143689394,,,Cardamine californica,milkmaids
9650652,2018-01-28,research,"Alum Rock, San Jose, CA, USA",37.4019373798,-121.7951846123,,,Oxalis pes-caprae,Bermuda buttercup
9650654,2018-01-28,needs_id,"Alum Rock Park, San Jose, CA, USA",37.3937357476,-121.8159328401,,,Platanus,planes
9698312,2018-02-01,research,"Mission Peak Regional Preserve, Alameda County, CA, USA",37.4759479488,-121.8787515163,,,Hirschfeldia incana,Shortpod Mustard
9698313,2018-02-01,needs_id,"Mission Peak Regional Preserve, Alameda County, CA, USA",37.477761515,-121.8820184469,,,Malva,
9736424,2018-02-04,research,"Foothills Park, Palo Alto, CA, USA",37.3614255019,-122.176181674,,,Cardamine californica,milkmaids
9736426,2018-02-04,research,"Foothills Park, Palo Alto, CA, USA",37.3503730099,-122.1839869022,,,Pedicularis densiflora,Indian Warrior
9736432,2018-02-04,research,"Foothills Park, Palo Alto, CA, USA",37.3474902252,-122.1826779842,,,Echium plantagineum,Purple viper's-bugloss
9736440,2018-02-04,research,"Foothills Park, Palo Alto, CA, USA",37.3545562625,-122.1887692809,,,Dendromecon rigida,Bush Poppy
9736442,2018-02-04,needs_id,"Foothills Park, Palo Alto, CA, USA",37.3567522702,-122.1903169155,,,Arctostaphylos,bearberries and manzanitas
9736446,2018-02-04,research,"Foothills Park, Palo Alto, CA, USA",37.3633271169,-122.1863928437,,,Bellis perennis,common daisy
9736448,2018-02-04,research,"Palo Alto, CA, USA",37.3669937721,-122.1785527468,,,Adelinia grande,Pacific hound's tongue
9926452,2018-02-19,research,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.328382582,-122.1330088377,,,Adelinia grande,Pacific hound's tongue
9926454,2018-02-19,research,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3334841155,-122.1441614652,,,Ceanothus cuneatus,Buckbrush
9926458,2018-02-19,needs_id,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3454090928,-122.133024931,,,Cotoneaster,Cotoneaster
9926459,2018-02-19,research,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3455370329,-122.1325582266,,,Toxicoscordion fremontii,Fremont's Deathcamas
9926460,2018-02-19,research,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3388412067,-122.116266489,,,Castilleja foliolosa,Woolly Indian Paintbrush
9926461,2018-02-19,needs_id,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3379199508,-122.1127259731,,,Lupinus,lupines
9926462,2018-02-19,needs_id,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3379540716,-122.1094429493,,,Marah fabacea,California manroot
9926463,2018-02-19,needs_id,"Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3380905546,-122.1087160707,,,Opuntia,Prickly pears
9926464,2018-02-19,casual,"Deer Hollow Farm, Rancho San Antonio Open Space Preserve, Santa Clara County, CA, USA",37.3326992871,-122.0995160937,,,Prunus,"plums, cherries, and allies"
9973640,2017-02-25,needs_id,"Garin Regional Park, Alameda County, CA, USA",37.6363926728,-122.0308970871,,,Raphanus raphanistrum,Jointed Charlock
9973740,2017-02-12,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1731751515,-121.5013217845,,,Heteromeles arbutifolia,Toyon
9973741,2017-02-12,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1744745663,-121.5149259567,,,Adelinia grande,Pacific hound's tongue
9973744,2017-02-12,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1833647202,-121.5365552902,,,Cardamine californica,milkmaids
9978759,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0973599322,-121.4485359192,,,Primula clevelandii,Padre's Shooting Star
9978760,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0979076067,-121.4492225647,,,Adelinia grande,Pacific hound's tongue
9978762,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1011935707,-121.4487075806,,,Cardamine californica,milkmaids
9978763,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1022888604,-121.4507675171,,,Viola pedunculata,California Golden Violet
9978764,2016-02-21,needs_id,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1000982652,-121.4500808716,,,Ranunculus californicus,California buttercup
9978765,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1006459199,-121.4514541626,,,Nemophila menziesii,baby blue eyes
9978766,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1033841342,-121.4514541626,,,Calandrinia menziesii,red maids
9978767,2016-02-21,needs_id,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1050270153,-121.4493942261,,,Lupinus,lupines
9978768,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1077650712,-121.4493942261,,,Eschscholzia californica,California poppy
9978769,2016-02-21,needs_id,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1050270153,-121.4500808716,,,Lupinus,lupines
9978770,2016-02-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1058484424,-121.4492225647,,,Calandrinia menziesii,red maids
9998802,2018-02-25,research,"Santa Teresa County Park, San Jose, CA, USA",37.2059273347,-121.7984193563,,,Eschscholzia californica,California poppy
9998807,2018-02-25,needs_id,"Santa Teresa County Park, San Jose, CA, USA",37.2115626625,-121.7972559482,,,Carduinae,
9998808,2018-02-25,needs_id,"Santa Teresa County Park, San Jose, CA, USA",37.2119557098,-121.7969468236,,,Brassicaceae,mustard family
9998809,2018-02-25,needs_id,"Santa Teresa County Park, San Jose, CA, USA",37.2160270471,-121.7950934172,,,Erodium cicutarium,common stork's-bill
9998810,2018-02-25,research,"Santa Teresa County Park, San Jose, CA, USA",37.2231951428,-121.7995244264,,,Calandrinia menziesii,red maids
9998815,2018-02-25,research,"Santa Teresa County Park, San Jose, CA, USA",37.210712477,-121.7709749937,,,Calandrinia menziesii,red maids
9998817,2018-02-25,needs_id,"Santa Teresa County Park, San Jose, CA, USA",37.2132160108,-121.7967885733,,,Brassicaceae,mustard family
10081716,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Eschscholzia californica californica,
10081717,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Toxicoscordion fremontii,Fremont's Deathcamas
10081718,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Erodium cicutarium,common stork's-bill
10081719,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Primula hendersonii,Henderson's shooting star
10081720,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Pedicularis densiflora,Indian Warrior
10081721,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Lupinus albifrons,Silver Lupine
10081722,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Dichelostemma capitatum,Blue Dicks
10081723,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Clematis lasiantha,Pipestem Clematis
10081724,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Claytonia perfoliata,miner's lettuce
10081725,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Oxalis pes-caprae,Bermuda buttercup
10081726,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Taraxia ovata,Sun Cup
10081727,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Lupinus albifrons albifrons,Silver Bush Lupine
10081728,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Vicia sativa,Common Vetch
10081729,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Vicia sativa,Common Vetch
10081730,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Fritillaria affinis,checker lily
10081731,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Sisyrinchium bellum,western blue-eyed grass
10081732,2016-02-28,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Diplacus aurantiacus,orange bush monkeyflower
10081734,2016-02-28,needs_id,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4630047898,-122.287530899,,,Barbarea orthoceras,American yellowrocket
10081765,2015-03-01,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4648550977,-122.2868375416,,,Eschscholzia californica,California poppy
10081942,2015-02-21,research,"Ed R. Levin County Park, Milpitas, CA, USA",37.4444419618,-121.8515002196,,,Eschscholzia californica,California poppy
10082015,2015-02-11,casual,"Carmelite Monastery, Santa Clara, CA, USA",37.3476949236,-121.953279376,,,Olea europaea,Olive
10091820,2018-03-04,research,"Coal Mine Ridge, Portola Valley, CA, USA",37.3617199972,-122.2058962663,,,Trillium chloropetalum,giant wakerobin
10091821,2018-03-04,research,"Coal Mine Ridge, Portola Valley, CA, USA",37.3545565587,-122.2100375967,,,Pedicularis densiflora,Indian Warrior
10134442,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0918145046,-121.4681482315,,,Primula hendersonii,Henderson's shooting star
10134443,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0973941619,-121.4641007781,,,Nemophila menziesii,baby blue eyes
10134444,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0981087049,-121.4646157622,,,Primula clevelandii,Padre's Shooting Star
10134445,2018-03-07,needs_id,"Santa Clara County, CA, USA",37.0982199506,-121.4645782113,,,Erodium cicutarium,common stork's-bill
10134446,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0970176336,-121.4630439878,,,Microsteris gracilis,slender phlox
10134447,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0969662887,-121.4629809558,,,Plagiobothrys nothofulvus,Rusty Popcornflower
10134448,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0969791249,-121.4630232006,,,Viola pedunculata,California Golden Violet
10134449,2018-03-07,needs_id,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0969812643,-121.4630292356,,,Erodium botrys,Mediterranean Stork's-bill
10134450,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0969128043,-121.462919265,,,Ranunculus californicus,California buttercup
10134451,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0963758195,-121.4611369372,,,Adelinia grande,Pacific hound's tongue
10134452,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0950237136,-121.4552655816,,,Lomatium utriculatum,Foothill desert-parsley
10134453,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0953146751,-121.4514917135,,,Eschscholzia californica,California poppy
10134455,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0886736272,-121.4404638112,,,Solanum umbelliferum,bluewitch nightshade
10134456,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.0824471163,-121.4287827909,,,Eschscholzia californica,California poppy
10134462,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.1214356871,-121.4270266145,,,Nemophila menziesii,baby blue eyes
10134465,2018-03-07,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",37.121744726,-121.4275114238,,,Primula clevelandii,Padre's Shooting Star
10140750,2015-05-16,research,"Coyote Lake County Park, Santa Clara County, CA, USA",37.073432,-121.52995,,,Silybum marianum,milk thistle
10154071,2017-04-30,research,"Rancho Cañada del Oro Open Space Preserve, San Jose, CA, USA",37.157444,-121.775036,,,Eschscholzia californica,California poppy
10159855,2017-03-04,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",37.294898371,-122.069081068,,,Solanum umbelliferum,bluewitch nightshade
10159856,2017-03-04,research,"Stevens Creek County Park, Santa Clara County, CA, USA",37.2855433379,-122.0773637295,,,Vinca major,greater periwinkle
10159857,2017-03-04,needs_id,"Stevens Creek County Park, Santa Clara County, CA, USA",37.2869261807,-122.0771276951,,,Delphinium decorum,coastal larkspur
10159858,2017-03-04,research,"Stevens Creek County Park, Santa Clara County, CA, USA",37.289136969,-122.078538537,,,Toxicoscordion fremontii,Fremont's Deathcamas
10159859,2017-03-04,research,"Stevens Creek County Park, Santa Clara County, CA, USA",37.2904514611,-122.0783668756,,,Primula hendersonii,Henderson's shooting star
10159860,2017-03-04,research,"Stevens Creek County Park, Santa Clara County, CA, USA",37.2909294525,-122.0780342817,,,Ceanothus cuneatus,Buckbrush
10159861,2017-03-04,needs_id,"Stevens Creek County Park, Santa Clara County, CA, USA",37.2949410463,-122.0775192977,,,Prunus,"plums, cherries, and allies"
10159959,2017-03-08,research,"Stevens Canyon Trail, Santa Clara County, CA, USA",37.2937717315,-122.1341836452,,,Cardamine californica,milkmaids
10171974,2017-03-12,research,"Coyote Lake County Park, Santa Clara County, CA, USA",37.0792930115,-121.5348869562,,,Nemophila menziesii,baby blue eyes
10171975,2017-03-12,needs_id,"Coyote Lake County Park, Santa Clara County, CA, USA",37.0792930115,-121.5348654985,,,Angiospermae,flowering plants
10171977,2017-03-12,research,"Coyote Lake County Park, Santa Clara County, CA, USA",37.0867993087,-121.5419733524,,,Eschscholzia californica californica,
10172660,2016-03-09,research,"Mission Peak, Fremont, CA, USA",37.5209803554,-121.9005543524,,,Taraxacum officinale,common dandelion
10172661,2016-03-09,research,"Mission Peak, Fremont, CA, USA",37.5209803554,-121.9005543524,,,Lupinus bicolor,Miniature Lupine
10172662,2016-03-09,research,"Mission Peak, Fremont, CA, USA",37.5209803554,-121.9005543524,,,Eschscholzia californica,California poppy
10172663,2016-03-09,research,"Mission Peak, Fremont, CA, USA",37.5209803554,-121.9005543524,,,Erodium cicutarium,common stork's-bill
10172664,2016-03-09,research,"Mission Peak, Fremont, CA, USA",37.5209803554,-121.9005543524,,,Ranunculus californicus,California buttercup
10176812,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Lathyrus vestitus,Pacific pea
10176813,2016-03-12,needs_id,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Amsinckia,Fiddlenecks
10176814,2016-03-12,needs_id,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Galium aparine,catchweed bedstraw
10176815,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Plagiobothrys nothofulvus,Rusty Popcornflower
10176816,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Thysanocarpus curvipes,sand fringepod
10176819,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Eriophyllum confertiflorum,Golden Yarrow
10176820,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Pedicularis densiflora,Indian Warrior
10176821,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Solanum umbelliferum,bluewitch nightshade
10176822,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Dichelostemma capitatum,Blue Dicks
10176823,2016-03-12,research,"Almaden Quicksilver County Park, San Jose, CA, USA",37.187673,-121.846962,,,Toxicodendron diversilobum,Pacific poison oak
10179151,2015-03-10,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",37.2877738327,-122.0605974358,,,Eschscholzia californica,California poppy
10179152,2015-03-10,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",37.2877738327,-122.0605974358,,,Vicia villosa,hairy vetch
10179153,2015-03-10,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",37.2877738327,-122.0605974358,,,Lupinus bicolor,Miniature Lupine
10179154,2015-03-10,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",37.2877738327,-122.0605974358,,,Oxalis pes-caprae,Bermuda buttercup
10179155,2015-03-10,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",37.2877738327,-122.0605974358,,,Dichelostemma capitatum,Blue Dicks
10179156,2015-03-10,research,"Fremont Older Open Space Preserve, Santa Clara County, CA, USA",37.2889406468,-122.0614528656,,,Erodium cicutarium,common stork's-bill
10179451,2014-03-08,research,"Mission Peak, Fremont, CA, USA",37.5091045597,-121.8926310555,,,Eschscholzia californica californica,
10193912,2018-03-11,needs_id,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4620850591,-122.282922864,,,Erodium cicutarium,common stork's-bill
10193913,2018-03-11,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4620850591,-122.282922864,,,Eschscholzia californica californica,
10193914,2018-03-11,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4614122859,-122.2822791338,,,Ceanothus cuneatus,Buckbrush
10193915,2018-03-11,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4618551246,-122.2806912661,,,Quercus berberidifolia,California scrub oak
10193916,2018-03-11,research,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4618551246,-122.2806912661,,,Eriodictyon californicum,California yerba santa
10193918,2018-03-11,needs_id,"Edgewood Park & Natural Preserve, San Mateo County, CA, USA",37.4618551246,-122.2806912661,,,Lomatium dasycarpum,woollyfruit desertparsley
