Pelecanus erythrorhynchos: ('species', 'Animalia', 4334, 'Pelecanus', 'genus')
Heteromeles arbutifolia: ('species', 'Plantae', 53405, 'Heteromeles', 'genus')
Trimerotropis: ('genus', 'Animalia', 51494, 'Acrididae', 'family')
Circus hudsonius: ('species', 'Animalia', 558446, 'Circus', 'genus')
Amanita augusta: ('species', 'Fungi', 348830, 'Amanita', 'genus')
Actinemys marmorata: ('species', 'Animalia', 73592, 'Actinemys', 'genus')
Meleagris gallopavo: ('species', 'Animalia', 906, 'Meleagris', 'genus')
Crotalus oreganus oreganus: ('subspecies', 'Animalia', 48267, 'Crotalus oreganus', 'species')
Trachemys scripta elegans: ('subspecies', 'Animalia', 51271, 'Trachemys scripta', 'species')
Limoniidae: ('family', 'Animalia', 47992, 'Diptera', 'order')
Pyrobombus: ('subgenus', 'Animalia', 538900, 'Apidae', 'family')
Callophrys dumetorum: ('species', 'Animalia', 346970, 'Callophrys', 'genus')
Mus musculus: ('species', 'Animalia', 44705, 'Mus', 'genus')
Anthrenus verbasci: ('species', 'Animalia', 120113, 'Anthrenus', 'genus')
Psathyrellaceae: ('family', 'Fungi', 56310, 'Agaricales', 'order')
Odocoileus hemionus columbianus: ('subspecies', 'Animalia', 42221, 'Odocoileus hemionus', 'species')
Haliaeetus leucocephalus: ('species', 'Animalia', 5305, 'Haliaeetus', 'genus')
Vanessa cardui: ('species', 'Animalia', 48548, 'Vanessa', 'genus')
Lysimachia latifolia: ('species', 'Plantae', 496537, 'Lysimachia', 'genus')
Coelocnemis: ('genus', 'Animalia', 69731, 'Tenebrionidae', 'family')
Dione vanillae: ('species', 'Animalia', 49150, 'Dione', 'genus')
Columba livia domestica: ('subspecies', 'Animalia', 122767, 'Columba livia', 'species')
Lepus californicus: ('species', 'Animalia', 43130, 'Lepus', 'genus')
Hippodamia convergens: ('species', 'Animalia', 48987, 'Hippodamia', 'genus')
Coccinella californica: ('species', 'Animalia', 128712, 'Coccinella', 'genus')
Lycosidae: ('family', 'Animalia', 47416, 'Araneae', 'order')
Paeromopus angusticeps: ('species', 'Animalia', 84714, 'Paeromopus', 'genus')
Libellula luctuosa: ('species', 'Animalia', 47934, 'Libellula', 'genus')
Neoscona crucifera: ('species', 'Animalia', 85034, 'Neoscona', 'genus')
Phaeolus schweinitzii: ('species', 'Fungi', 118084, 'Phaeolus', 'genus')
Tracheophyta: ('phylum', 'Plantae', 211194, 'Plantae', 'kingdom')
Hericium erinaceus: ('species', 'Fungi', 49158, 'Hericium', 'genus')
Omphalotus olivascens: ('species', 'Fungi', 67752, 'Omphalotus', 'genus')
Nezara viridula: ('species', 'Animalia', 141725, 'Nezara', 'genus')
Pedicularis densiflora: ('species', 'Plantae', 49645, 'Pedicularis', 'genus')
Fulica americana: ('species', 'Animalia', 473, 'Fulica', 'genus')
Calandrinia menziesii: ('species', 'Plantae', 400267, 'Calandrinia', 'genus')
Brassiceae: ('tribe', 'Plantae', 574731, 'Brassicaceae', 'family')
Bryopsida: ('class', 'Plantae', 48372, 'Bryophyta', 'phylum')
Myosotis latifolia: ('species', 'Plantae', 49132, 'Myosotis', 'genus')
Braconidae: ('family', 'Animalia', 63187, 'Hymenoptera', 'order')
Genista monspessulana: ('species', 'Plantae', 53403, 'Genista', 'genus')
Tipulomorpha: ('infraorder', 'Animalia', 179916, 'Diptera', 'order')
Euphydryas: ('genus', 'Animalia', 50896, 'Nymphalidae', 'family')
Sylvilagus audubonii: ('species', 'Animalia', 43115, 'Sylvilagus', 'genus')
Scabrethia scabra: ('species', 'Plantae', 121786, 'Scabrethia', 'genus')
Dianthus carthusianorum: ('species', 'Plantae', 84960, 'Dianthus', 'genus')
Echium vulgare: ('species', 'Plantae', 56174, 'Echium', 'genus')
Phalacrocorax auritus: ('species', 'Animalia', 4265, 'Phalacrocorax', 'genus')
Passerculus sandwichensis: ('species', 'Animalia', 9981, 'Passerculus', 'genus')
Anas platyrhynchos: ('species', 'Animalia', 6930, 'Anas', 'genus')
Aimophila ruficeps: ('species', 'Animalia', 9958, 'Aimophila', 'genus')
Buteo lineatus: ('species', 'Animalia', 5206, 'Buteo', 'genus')
Baccharis pilularis: ('species', 'Plantae', 53359, 'Baccharis', 'genus')
Artemisia californica: ('species', 'Plantae', 53357, 'Artemisia', 'genus')
Centaurea calcitrapa: ('species', 'Plantae', 56865, 'Centaurea', 'genus')
Pinopsida: ('class', 'Plantae', 136329, 'Tracheophyta', 'phylum')
Eucalyptus globulus: ('species', 'Plantae', 53398, 'Eucalyptus', 'genus')
Eucalyptus: ('genus', 'Plantae', 51815, 'Myrtaceae', 'family')
Zonotrichia leucophrys: ('species', 'Animalia', 9176, 'Zonotrichia', 'genus')
Taricha torosa: ('species', 'Animalia', 27818, 'Taricha', 'genus')
Eriodictyon californicum: ('species', 'Plantae', 57095, 'Eriodictyon', 'genus')
Bostrichoidea: ('superfamily', 'Animalia', 47496, 'Coleoptera', 'order')
Umbellularia californica: ('species', 'Plantae', 48807, 'Umbellularia', 'genus')
Cotoneaster: ('genus', 'Plantae', 53376, 'Rosaceae', 'family')
Dryopteris arguta: ('species', 'Plantae', 52671, 'Dryopteris', 'genus')
Polystichum munitum: ('species', 'Plantae', 47751, 'Polystichum', 'genus')
Arctostaphylos pallida: ('species', 'Plantae', 53355, 'Arctostaphylos', 'genus')
Stereum hirsutum: ('species', 'Fungi', 55501, 'Stereum', 'genus')
Arctostaphylos: ('genus', 'Plantae', 47179, 'Ericaceae', 'family')
Phoradendron villosum: ('species', 'Plantae', 343310, 'Phoradendron', 'genus')
Callipepla californica: ('species', 'Animalia', 1409, 'Callipepla', 'genus')
Melozone crissalis: ('species', 'Animalia', 73044, 'Melozone', 'genus')
Rubus: ('genus', 'Plantae', 47544, 'Rosaceae', 'family')
Bryophyta: ('phylum', 'Plantae', 311249, 'Plantae', 'kingdom')
Ramalina: ('genus', 'Fungi', 48325, 'Ramalinaceae', 'family')
Hypholoma fasciculare: ('species', 'Fungi', 48767, 'Hypholoma', 'genus')
Melanerpes formicivorus: ('species', 'Animalia', 18209, 'Melanerpes', 'genus')
Ramalina menziesii: ('species', 'Fungi', 49578, 'Ramalina', 'genus')
Junco hyemalis: ('species', 'Animalia', 10094, 'Junco', 'genus')
Hedera helix: ('species', 'Plantae', 55882, 'Hedera', 'genus')
Polytrichum: ('genus', 'Plantae', 67912, 'Polytrichaceae', 'family')
Columba livia: ('species', 'Animalia', 3017, 'Columba', 'genus')
Mucorales: ('order', 'Fungi', 123763, 'Mucoromycetes', 'class')
Arctostaphylos canescens canescens: ('subspecies', 'Plantae', 79584, 'Arctostaphylos canescens', 'species')
Ariolimax: ('genus', 'Animalia', 47777, 'Ariolimacidae', 'family')
Aleuria aurantia: ('species', 'Fungi', 48716, 'Aleuria', 'genus')
Psathyrella: ('genus', 'Fungi', 67745, 'Psathyrellaceae', 'family')
Quercus agrifolia: ('species', 'Plantae', 47850, 'Quercus', 'genus')
Sturnella neglecta: ('species', 'Animalia', 9535, 'Sturnella', 'genus')
Agaricales: ('order', 'Fungi', 47167, 'Agaricomycetes', 'class')
Sialia mexicana: ('species', 'Animalia', 12937, 'Sialia', 'genus')
Falco sparverius: ('species', 'Animalia', 4665, 'Falco', 'genus')
Formica: ('genus', 'Animalia', 47339, 'Formicidae', 'family')
Poecile rufescens: ('species', 'Animalia', 144820, 'Poecile', 'genus')
Corvus corax: ('species', 'Animalia', 8010, 'Corvus', 'genus')
Elanus leucurus: ('species', 'Animalia', 5277, 'Elanus', 'genus')
Aphelocoma californica: ('species', 'Animalia', 506118, 'Aphelocoma', 'genus')
Bos taurus: ('species', 'Animalia', 74113, 'Bos', 'genus')
Guepinia helvelloides: ('species', 'Fungi', 348814, 'Guepinia', 'genus')
Aythya collaris: ('species', 'Animalia', 7044, 'Aythya', 'genus')
Canis familiaris: ('species', 'Animalia', 47144, 'Canis', 'genus')
Coccinella septempunctata: ('species', 'Animalia', 51702, 'Coccinella', 'genus')
Oxalis pes-caprae: ('species', 'Plantae', 53169, 'Oxalis', 'genus')
Platanus: ('genus', 'Plantae', 49664, 'Platanaceae', 'family')
Aves: ('class', 'Animalia', 3, 'Chordata', 'phylum')
Otospermophilus beecheyi: ('species', 'Animalia', 180007, 'Otospermophilus', 'genus')
Hirschfeldia incana: ('species', 'Plantae', 53097, 'Hirschfeldia', 'genus')
Malva: ('genus', 'Plantae', 55978, 'Malvaceae', 'family')
Sayornis saya: ('species', 'Animalia', 17009, 'Sayornis', 'genus')
Ardea herodias: ('species', 'Animalia', 4956, 'Ardea', 'genus')
Branta canadensis: ('species', 'Animalia', 7089, 'Branta', 'genus')
Egretta thula: ('species', 'Animalia', 4940, 'Egretta', 'genus')
Adiantum jordanii: ('species', 'Plantae', 56032, 'Adiantum', 'genus')
Thamnophis atratus atratus: ('subspecies', 'Animalia', 28419, 'Thamnophis atratus', 'species')
Echium plantagineum: ('species', 'Plantae', 76764, 'Echium', 'genus')
Arctiini: ('tribe', 'Animalia', 82089, 'Erebidae', 'family')
Dendromecon rigida: ('species', 'Plantae', 58224, 'Dendromecon', 'genus')
Vanessa virginiensis: ('species', 'Animalia', 48549, 'Vanessa', 'genus')
Bellis perennis: ('species', 'Plantae', 55563, 'Bellis', 'genus')
Pleurotus ostreatus: ('species', 'Fungi', 48494, 'Pleurotus', 'genus')
Adelinia grande: ('species', 'Plantae', 769151, 'Adelinia', 'genus')
Diabrotica undecimpunctata: ('species', 'Animalia', 55487, 'Diabrotica', 'genus')
Loxia curvirostra: ('species', 'Animalia', 10411, 'Loxia', 'genus')
Poecile gambeli: ('species', 'Animalia', 144816, 'Poecile', 'genus')
Bison bison bison: ('subspecies', 'Animalia', 123788, 'Bison bison', 'species')
Nucifraga columbiana: ('species', 'Animalia', 8520, 'Nucifraga', 'genus')
Canis latrans: ('species', 'Animalia', 42051, 'Canis', 'genus')
Alces alces: ('species', 'Animalia', 522193, 'Alces', 'genus')
Cygnus buccinator: ('species', 'Animalia', 6915, 'Cygnus', 'genus')
Ovis canadensis: ('species', 'Animalia', 42391, 'Ovis', 'genus')
Bison bison: ('species', 'Animalia', 42408, 'Bison', 'genus')
Camponotus vicinus: ('species', 'Animalia', 68959, 'Camponotus', 'genus')
Ceanothus cuneatus: ('species', 'Plantae', 49673, 'Ceanothus', 'genus')
Sceloporus occidentalis: ('species', 'Animalia', 36204, 'Sceloporus', 'genus')
Toxicoscordion fremontii: ('species', 'Plantae', 49649, 'Toxicoscordion', 'genus')
Castilleja foliolosa: ('species', 'Plantae', 56760, 'Castilleja', 'genus')
Lupinus: ('genus', 'Plantae', 47121, 'Fabaceae', 'family')
Marah fabacea: ('species', 'Plantae', 205330, 'Marah', 'genus')
Opuntia: ('genus', 'Plantae', 47902, 'Cactaceae', 'family')
Prunus cerasifera: ('species', 'Plantae', 55837, 'Prunus', 'genus')
Raphanus sativus: ('species', 'Plantae', 55410, 'Raphanus', 'genus')
Primula clevelandii: ('species', 'Plantae', 486971, 'Primula', 'genus')
Pieris marginalis: ('species', 'Animalia', 82481, 'Pieris', 'genus')
Viola pedunculata: ('species', 'Plantae', 50825, 'Viola', 'genus')
Ranunculus californicus: ('species', 'Plantae', 52173, 'Ranunculus', 'genus')
Nemophila menziesii atomaria: ('variety', 'Plantae', 50647, 'Nemophila menziesii', 'species')
Eschscholzia californica: ('species', 'Plantae', 48225, 'Eschscholzia', 'genus')
Junonia grisea: ('species', 'Animalia', 1021509, 'Junonia', 'genus')
Toxomerus marginatus: ('species', 'Animalia', 126889, 'Toxomerus', 'genus')
Mammalia: ('class', 'Animalia', 40151, 'Chordata', 'phylum')
Carnivora: ('order', 'Animalia', 41573, 'Mammalia', 'class')
Carduinae: ('subtribe', 'Plantae', 632885, 'Asteraceae', 'family')
Brassicaceae: ('family', 'Plantae', 47204, 'Brassicales', 'order')
Erodium cicutarium: ('species', 'Plantae', 47687, 'Erodium', 'genus')
Calypte anna: ('species', 'Animalia', 6317, 'Calypte', 'genus')
Accipitridae: ('family', 'Animalia', 5067, 'Accipitriformes', 'order')
Eschscholzia californica californica: ('subspecies', 'Plantae', 48224, 'Eschscholzia californica', 'species')
Primula hendersonii: ('species', 'Plantae', 487175, 'Primula', 'genus')
Lupinus albifrons: ('species', 'Plantae', 51691, 'Lupinus', 'genus')
Dipterostemon capitatus: ('species', 'Plantae', 1196784, 'Dipterostemon', 'genus')
Clematis lasiantha: ('species', 'Plantae', 49876, 'Clematis', 'genus')
Claytonia perfoliata: ('species', 'Plantae', 52994, 'Claytonia', 'genus')
Taraxia ovata: ('species', 'Plantae', 68182, 'Taraxia', 'genus')
Lupinus albifrons albifrons: ('variety', 'Plantae', 53418, 'Lupinus albifrons', 'species')
Fritillaria affinis: ('species', 'Plantae', 50618, 'Fritillaria', 'genus')
Sisyrinchium bellum: ('species', 'Plantae', 49918, 'Sisyrinchium', 'genus')
Diplacus aurantiacus: ('species', 'Plantae', 777371, 'Diplacus', 'genus')
Barbarea orthoceras: ('species', 'Plantae', 52976, 'Barbarea', 'genus')
Icteridae: ('family', 'Animalia', 11989, 'Passeriformes', 'order')
Corvus brachyrhynchos: ('species', 'Animalia', 8021, 'Corvus', 'genus')
Olea europaea: ('species', 'Plantae', 57140, 'Olea', 'genus')
Trillium chloropetalum: ('species', 'Plantae', 50823, 'Trillium', 'genus')
Microsteris gracilis: ('species', 'Plantae', 61210, 'Microsteris', 'genus')
Plagiobothrys nothofulvus: ('species', 'Plantae', 56990, 'Plagiobothrys', 'genus')
Erodium brachycarpum: ('species', 'Plantae', 58171, 'Erodium', 'genus')
Lomatium utriculatum: ('species', 'Plantae', 56827, 'Lomatium', 'genus')
Solanum umbelliferum: ('species', 'Plantae', 50639, 'Solanum', 'genus')
Lepidoptera: ('order', 'Animalia', 47157, 'Insecta', 'class')
Dermacentor occidentalis: ('species', 'Animalia', 83016, 'Dermacentor', 'genus')
Silybum marianum: ('species', 'Plantae', 52586, 'Silybum', 'genus')
Aphididae: ('family', 'Animalia', 52381, 'Hemiptera', 'order')
Macrosiphini: ('tribe', 'Animalia', 373734, 'Aphididae', 'family')
Vinca major: ('species', 'Plantae', 53326, 'Vinca', 'genus')
Delphinium decorum: ('species', 'Plantae', 59812, 'Delphinium', 'genus')
Prunus amygdalus: ('species', 'Plantae', 69936, 'Prunus', 'genus')
Nemophila menziesii: ('species', 'Plantae', 50648, 'Nemophila', 'genus')
Claytonia: ('genus', 'Plantae', 52995, 'Montiaceae', 'family')
Cheiracanthium: ('genus', 'Animalia', 61868, 'Cheiracanthiidae', 'family')
Taraxacum officinale: ('species', 'Plantae', 47602, 'Taraxacum', 'genus')
Lupinus bicolor: ('species', 'Plantae', 50614, 'Lupinus', 'genus')
Lathyrus vestitus: ('species', 'Plantae', 50320, 'Lathyrus', 'genus')
Amsinckia menziesii: ('species', 'Plantae', 55436, 'Amsinckia', 'genus')
Galium aparine: ('species', 'Plantae', 53059, 'Galium', 'genus')
Thysanocarpus curvipes: ('species', 'Plantae', 58088, 'Thysanocarpus', 'genus')
Eriophyllum confertiflorum: ('species', 'Plantae', 53395, 'Eriophyllum', 'genus')
Toxicodendron diversilobum: ('species', 'Plantae', 51080, 'Toxicodendron', 'genus')
Vicia villosa: ('species', 'Plantae', 57317, 'Vicia', 'genus')
Dialictus: ('subgenus', 'Animalia', 126545, 'Halictidae', 'family')
Quercus durata: ('species', 'Plantae', 56796, 'Quercus', 'genus')
Lomatium dasycarpum: ('species', 'Plantae', 56825, 'Lomatium', 'genus')
Calyptratae: ('zoosubsection', 'Animalia', 342767, 'Diptera', 'order')
Galium porrigens: ('species', 'Plantae', 53063, 'Galium', 'genus')
Arbutus menziesii: ('species', 'Plantae', 51046, 'Arbutus', 'genus')
Erodium botrys: ('species', 'Plantae', 57090, 'Erodium', 'genus')
Sanicula bipinnatifida: ('species', 'Plantae', 56840, 'Sanicula', 'genus')
Calystegia: ('genus', 'Plantae', 56031, 'Convolvulaceae', 'family')
Lasthenia californica: ('species', 'Plantae', 50987, 'Lasthenia', 'genus')
Rubus ursinus: ('species', 'Plantae', 53445, 'Rubus', 'genus')
Apis mellifera: ('species', 'Animalia', 47219, 'Apis', 'genus')
Stellaria media: ('species', 'Plantae', 53298, 'Stellaria', 'genus')
Kniphofia uvaria: ('species', 'Plantae', 56035, 'Kniphofia', 'genus')
Nemophila heterophylla: ('species', 'Plantae', 53158, 'Nemophila', 'genus')
Platystemon californicus: ('species', 'Plantae', 51288, 'Platystemon', 'genus')
Castilleja densiflora: ('species', 'Plantae', 55508, 'Castilleja', 'genus')
Medicago polymorpha: ('species', 'Plantae', 53151, 'Medicago', 'genus')
Dipsacus sativus: ('species', 'Plantae', 53028, 'Dipsacus', 'genus')
Salix lasiolepis: ('species', 'Plantae', 53452, 'Salix', 'genus')
Empidinae: ('subfamily', 'Animalia', 349059, 'Empididae', 'family')
Chondestes grammacus: ('species', 'Animalia', 10479, 'Chondestes', 'genus')
Aquilegia formosa: ('species', 'Plantae', 48244, 'Aquilegia', 'genus')
Oxalis oregana: ('species', 'Plantae', 47757, 'Oxalis', 'genus')
Ariolimax californicus: ('species', 'Animalia', 48213, 'Ariolimax', 'genus')
Quercus kelloggii: ('species', 'Plantae', 49919, 'Quercus', 'genus')
Formicidae: ('family', 'Animalia', 47336, 'Hymenoptera', 'order')
Dendroalsia abietina: ('species', 'Plantae', 55340, 'Dendroalsia', 'genus')
Bucephala albeola: ('species', 'Animalia', 6993, 'Bucephala', 'genus')
Delphinium patens patens: ('subspecies', 'Plantae', 57246, 'Delphinium patens', 'species')
Lithophragma heterophyllum: ('species', 'Plantae', 53124, 'Lithophragma', 'genus')
Plectritis macrocera: ('species', 'Plantae', 57287, 'Plectritis', 'genus')
Pholistoma auritum: ('species', 'Plantae', 55437, 'Pholistoma', 'genus')
Gilia achilleifolia: ('species', 'Plantae', 51098, 'Gilia', 'genus')
Erysimum capitatum: ('species', 'Plantae', 50628, 'Erysimum', 'genus')
Gymnogyps californianus: ('species', 'Animalia', 4778, 'Gymnogyps', 'genus')
Salvia mellifera: ('species', 'Plantae', 50643, 'Salvia', 'genus')
Viola glabella: ('species', 'Plantae', 71113, 'Viola', 'genus')
Viola ocellata: ('species', 'Plantae', 61782, 'Viola', 'genus')
Dacrymyces chrysospermus: ('species', 'Fungi', 118028, 'Dacrymyces', 'genus')
Pectinidae: ('family', 'Animalia', 54525, 'Pectinida', 'order')
Iris douglasiana: ('species', 'Plantae', 50854, 'Iris', 'genus')
Castilleja exserta: ('species', 'Plantae', 49343, 'Castilleja', 'genus')
Lysimachia arvensis: ('species', 'Plantae', 791928, 'Lysimachia', 'genus')
Calystegia purpurata: ('species', 'Plantae', 61319, 'Calystegia', 'genus')
Sidalcea malviflora: ('species', 'Plantae', 48795, 'Sidalcea', 'genus')
Veromessor andrei: ('species', 'Animalia', 370875, 'Veromessor', 'genus')
Scandix pecten-veneris: ('species', 'Plantae', 56843, 'Scandix', 'genus')
Pipilo maculatus: ('species', 'Animalia', 9420, 'Pipilo', 'genus')
Eschscholzia caespitosa: ('species', 'Plantae', 58954, 'Eschscholzia', 'genus')
Amsinckia: ('genus', 'Plantae', 49140, 'Boraginaceae', 'family')
Arthropoda: ('phylum', 'Animalia', 47120, 'Animalia', 'kingdom')
Coleoptera: ('order', 'Animalia', 47208, 'Insecta', 'class')
Aeronautes saxatalis: ('species', 'Animalia', 6553, 'Aeronautes', 'genus')
Anaxyrus boreas: ('species', 'Animalia', 64970, 'Anaxyrus', 'genus')
Quercus lobata: ('species', 'Plantae', 49011, 'Quercus', 'genus')
Veronica persica: ('species', 'Plantae', 55666, 'Veronica', 'genus')
Ranunculus muricatus: ('species', 'Plantae', 57240, 'Ranunculus', 'genus')
Accipiter cooperii: ('species', 'Animalia', 5112, 'Accipiter', 'genus')
Plagiobothrys humistratus: ('species', 'Plantae', 60152, 'Plagiobothrys', 'genus')
Glaucopsyche lygdamus: ('species', 'Animalia', 56776, 'Glaucopsyche', 'genus')
Calystegia purpurata purpurata: ('subspecies', 'Plantae', 58882, 'Calystegia purpurata', 'species')
Polyommatini: ('tribe', 'Animalia', 125833, 'Lycaenidae', 'family')
Aphidoidea: ('superfamily', 'Animalia', 52380, 'Hemiptera', 'order')
Amsinckia lunaris: ('species', 'Plantae', 75425, 'Amsinckia', 'genus')
Ceanothus papillosus: ('species', 'Plantae', 64281, 'Ceanothus', 'genus')
Ceanothus oliganthus: ('species', 'Plantae', 53360, 'Ceanothus', 'genus')
Cistus creticus: ('species', 'Plantae', 64318, 'Cistus', 'genus')
Halictus tripartitus: ('species', 'Animalia', 309390, 'Halictus', 'genus')
Gilia tricolor: ('species', 'Plantae', 50832, 'Gilia', 'genus')
Geranium dissectum: ('species', 'Plantae', 53075, 'Geranium', 'genus')
Sciurus griseus: ('species', 'Animalia', 46023, 'Sciurus', 'genus')
Cyanocitta stelleri: ('species', 'Animalia', 8234, 'Cyanocitta', 'genus')
Viola sempervirens: ('species', 'Plantae', 55342, 'Viola', 'genus')
Elgaria coerulea coerulea: ('subspecies', 'Animalia', 32068, 'Elgaria coerulea', 'species')
Vaccinium ovatum: ('species', 'Plantae', 48349, 'Vaccinium', 'genus')
Orthorrhapha: ('infraorder', 'Animalia', 372865, 'Diptera', 'order')
Equisetum telmateia braunii: ('subspecies', 'Plantae', 57032, 'Equisetum telmateia', 'species')
Woodwardia fimbriata: ('species', 'Plantae', 52685, 'Woodwardia', 'genus')
Trillium ovatum: ('species', 'Plantae', 49463, 'Trillium', 'genus')
Anemonoides grayi: ('species', 'Plantae', 950609, 'Anemonoides', 'genus')
Maianthemum racemosum: ('species', 'Plantae', 51062, 'Maianthemum', 'genus')
Thamnophis atratus: ('species', 'Animalia', 28418, 'Thamnophis', 'genus')
Amsinckia menziesii intermedia: ('variety', 'Plantae', 49141, 'Amsinckia menziesii', 'species')
Cichorieae: ('tribe', 'Plantae', 359450, 'Asteraceae', 'family')
Trifolium hirtum: ('species', 'Plantae', 57078, 'Trifolium', 'genus')
Plantago erecta: ('species', 'Plantae', 53177, 'Plantago', 'genus')
Allium serra: ('species', 'Plantae', 59784, 'Allium', 'genus')
Cryptantha flaccida: ('species', 'Plantae', 56989, 'Cryptantha', 'genus')
Layia: ('genus', 'Plantae', 50877, 'Asteraceae', 'family')
Bombylius major: ('species', 'Animalia', 51557, 'Bombylius', 'genus')
Euphydryas editha bayensis: ('subspecies', 'Animalia', 59177, 'Euphydryas editha', 'species')
Lepidium nitidum: ('species', 'Plantae', 47202, 'Lepidium', 'genus')
Hordeum murinum: ('species', 'Plantae', 52796, 'Hordeum', 'genus')
Balaustium: ('genus', 'Animalia', 447779, 'Erythraeidae', 'family')
Muilla maritima: ('species', 'Plantae', 56627, 'Muilla', 'genus')
Chlorogalum pomeridianum: ('species', 'Plantae', 47597, 'Chlorogalum', 'genus')
Eremophila alpestris: ('species', 'Animalia', 7294, 'Eremophila', 'genus')
Vicia sativa sativa: ('subspecies', 'Plantae', 53334, 'Vicia sativa', 'species')
Achyrachaena mollis: ('species', 'Plantae', 56852, 'Achyrachaena', 'genus')
Matricaria discoidea: ('species', 'Plantae', 52992, 'Matricaria', 'genus')
Grindelia hirsutula: ('species', 'Plantae', 55364, 'Grindelia', 'genus')
Layia platyglossa: ('species', 'Plantae', 50876, 'Layia', 'genus')
Stachys: ('genus', 'Plantae', 51229, 'Lamiaceae', 'family')
Acmispon wrangelianus: ('species', 'Plantae', 57050, 'Acmispon', 'genus')
Brodiaea terrestris: ('species', 'Plantae', 57128, 'Brodiaea', 'genus')
Delphinium variegatum: ('species', 'Plantae', 50632, 'Delphinium', 'genus')
Wyethia angustifolia: ('species', 'Plantae', 56987, 'Wyethia', 'genus')
Linum bienne: ('species', 'Plantae', 55679, 'Linum', 'genus')
Erodium moschatum: ('species', 'Plantae', 57092, 'Erodium', 'genus')
