id,observed_on,quality_grade,place_guess,private_place_guess,scientific_name,common_name,taxon_id,taxon_kingdom_name,taxon_family_name
9043381,2017-05-25,research,"Skyline Ridge Open Space Preserve, CA, USA",,Tragopogon porrifolius,Salsify,54141,Plantae,Asteraceae
9043687,2016-05-22,needs_id,"Joseph D. Grant County Park, San Jose, CA, USA",,Spergularia rubra,Red Sand Spurrey,55730,Plantae,Caryophyllaceae
9043725,2016-07-31,casual,"Joaquin Miller Park, Oakland, CA, USA",,Impatiens balfourii,Kashmir Balsam,77490,Plantae,Balsaminaceae
9043810,2017-05-14,research,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Lathyrus cicera,Red Vetchling,59264,Plantae,Fabaceae
9044776,2017-08-27,needs_id,"Pogonip, Santa Cruz, CA, USA",,Solanum douglasii,greenspot nightshade,64105,Plantae,Solanaceae
9044811,2016-08-06,research,"Redwood Regional Park, Contra Costa County, CA, USA",,Sambucus cerulea,blue elder,143799,Plantae,Viburnaceae
9044851,2017-05-06,research,"Sunol Regional Wilderness, Alameda County, CA, USA",,Sambucus cerulea,blue elder,143799,Plantae,Viburnaceae
9044883,2016-05-22,research,"Joseph D. Grant County Park, San Jose, CA, USA",,Sambucus cerulea,blue elder,143799,Plantae,Viburnaceae
9045042,2017-07-02,research,"Dry Creek Pioneer Regional Park, Union City, CA, USA",,Asclepias eriocarpa,woollypod milkweed,58796,Plantae,Apocynaceae
9045336,2017-04-30,research,"Rancho Cañada del Oro Open Space Preserve, San Jose, CA, USA",,Micropus californicus,Q-tips,56975,Plantae,Asteraceae
9045414,2016-04-10,research,"Henry Cowell Redwoods State Park, Fall Creek Unit, CA, USA",,Cardamine californica,milkmaids,49651,Plantae,Brassicaceae
9047059,2016-09-05,needs_id,"Castle Rock State Park, CA, USA",,Solidago velutina californica,California goldenrod,80217,Plantae,Asteraceae
9047070,2016-09-05,needs_id,"Castle Rock State Park, CA, USA",,Solidago velutina californica,California goldenrod,80217,Plantae,Asteraceae
9047194,2017-10-29,needs_id,"Phegley Ridge, Henry Coe State Park, CA, USA",,Holocarpha virgata,Pit-gland Tarweed,53099,Plantae,Asteraceae
9047264,2017-04-16,research,"Edgewood Park, Redwood City, CA, USA",,Trifolium campestre,hop trefoil,57076,Plantae,Fabaceae
9047339,2016-03-12,needs_id,"Almaden Quicksilver County Park, San Jose, CA, USA",,Sanicula bipinnata,Poison sanicle,57626,Plantae,Apiaceae
9047403,2016-02-28,needs_id,"Edgewood Park, CA, USA",,Acacia dealbata,Silver wattle,53343,Plantae,Fabaceae
9047432,2017-03-23,research,"Bay Trail, Sunnyvale, CA, USA",,Calendula arvensis,field marigold,59260,Plantae,Asteraceae
9047472,2015-05-16,needs_id,"Coyote Lake County Park, CA, USA",,Gazania linearis,striped treasureflower,56951,Plantae,Asteraceae
9047568,2017-05-25,needs_id,"Monte Bello Open Space Preserve, CA, USA",,Agoseris hirsuta,Coast Range Agoseris,61169,Plantae,Asteraceae
9047665,2016-10-04,needs_id,"Hawaii, US","Kawaikoi Stream Trail, Kauai",Dianella sandwicensis,'uki'uki,123242,Plantae,Asphodelaceae
9047690,2017-11-12,research,"Poomau Canyon Ditch Trail, Kauai",,Zantedeschia aethiopica,calla lily,56006,Plantae,Araceae
9047728,2017-11-10,research,"Moalepe Trail, Kauai",,Mimosa pudica,Sensitive Plant,51921,Plantae,Fabaceae
9047867,2017-11-06,research,"Kuilau Ridge Trail, Kauai",,Pterolepis glomerata,,167548,Plantae,Melastomataceae
9061757,2017-11-12,needs_id,"Kumuwela Road (Trail), Kauai",,Amanita,amanita mushrooms,48419,Fungi,Amanitaceae
9061917,2007-06-17,research,"Angel's Landing Trail, Zion NP",,Pseudohemihyalea labecula,Freckled Glassy-wing,366982,Animalia,Erebidae
9061918,2007-06-17,needs_id,"Angel's Landing, Zion NP",,Neotamias umbrinus,Uinta Chipmunk,225757,Animalia,Sciuridae
9062210,2014-12-13,research,"California, US","Santa Clara, CA, USA",Sciurus niger,Fox Squirrel,46020,Animalia,Sciuridae
9062291,2016-08-28,research,"Rancho San Antonio, Santa Clara County, CA, USA",,Lonicera hispidula,Pink Honeysuckle,53416,Plantae,Caprifoliaceae
9062292,2016-08-28,research,"Rancho San Antonio, Santa Clara County, CA, USA",,Stephanomeria virgata,rod wirelettuce,56985,Plantae,Asteraceae
9062293,2016-08-28,research,"Rancho San Antonio, Santa Clara County, CA, USA",,Heteromeles arbutifolia,Toyon,53405,Plantae,Rosaceae
9062294,2016-08-28,needs_id,"Rancho San Antonio, Santa Clara County, CA, USA",,Trimerotropis,,51494,Animalia,Acrididae
9062326,2016-11-17,research,"Russian Ridge Open Space Preserve, San Mateo County, CA, USA",,Circus hudsonius,Northern Harrier,558446,Animalia,Accipitridae
9062344,2016-12-08,research,"California, US","Santa Clara, CA, USA",Sciurus niger,Fox Squirrel,46020,Animalia,Sciuridae
9062398,2017-01-21,research,"Big Basin State Park, Santa Cruz County, CA, USA",,Amanita augusta,Western Yellow-veiled Amanita,348830,Fungi,Amanitaceae
9062399,2017-01-21,research,"California, US","Big Basin State Park, Santa Cruz County, CA, USA",Actinemys marmorata,Western Pond Turtle,73592,Animalia,Emydidae
9062440,2017-03-12,research,"Coyote Lake County Park, Santa Clara County, CA, USA",,Meleagris gallopavo,Wild Turkey,906,Animalia,Phasianidae
9062495,2017-03-19,research,"Monument Peak, Ed R. Levin County Park, Alameda County, CA, USA",,Crotalus oreganus oreganus,Northern Pacific Rattlesnake,48267,Animalia,Viperidae
9064793,2016-10-06,research,"Hanalei River, Kauai, HI, USA",,Trachemys scripta elegans,Red-eared Slider,51271,Animalia,Emydidae
9064870,2016-03-27,research,"California, US","Sunol Regional Wilderness, Alameda County, CA, USA",Actinemys marmorata,Western Pond Turtle,73592,Animalia,Emydidae
9064978,2017-09-14,needs_id,"California, US","Santa Clara, CA, USA",Limoniidae,Limoniid Crane Flies,47992,Animalia,Limoniidae
9065043,2017-05-20,needs_id,"Long Ridge Open Space Preserve, San Mateo County, CA, USA",,Pyrobombus,,538900,Animalia,Apidae
9065257,2013-03-24,research,"Edgewood Park, Redwood City, CA, USA",,Callophrys dumetorum,Lotus Hairstreak,346970,Animalia,Lycaenidae
9065421,2007-10-30,needs_id,"California, US","Santa Clara, CA, USA",Lycosoidea,Wolf Spiders and Allies,367161,Animalia,
9065535,2008-10-16,needs_id,"Waipoo Falls Trail, Kauai, HI, USA",,Murinae,Murines,735171,Animalia,Muridae
9066073,2017-03-21,research,"California, US","Santa Clara, CA, USA",Anthrenus verbasci,Varied Carpet Beetle,120113,Animalia,Dermestidae
9066093,2016-01-02,needs_id,"Skyline Ridge Open Space Preserve, San Mateo County, CA, USA",,Psathyrellaceae,,56310,Fungi,Psathyrellaceae
9066190,2015-02-21,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,42221,Animalia,Cervidae
9066298,2015-05-10,research,"Lake Chabot Regional Park, Alameda County, CA, USA",,Haliaeetus leucocephalus,Bald Eagle,5305,Animalia,Accipitridae
9066363,2015-05-16,research,"Coyote Lake County Park, Santa Clara County, CA, USA",,Vanessa cardui,Painted Lady,48548,Animalia,Nymphalidae
9066532,2015-05-17,research,"Castle Rock State Park, Santa Cruz County, CA, USA",,Lysimachia latifolia,Western Star Flower,496537,Plantae,Primulaceae
9066572,2015-06-16,needs_id,"Coal Creek OSP, CA, USA",,Coelocnemis,,69731,Animalia,Tenebrionidae
9066606,2015-11-03,research,"Waihee Ridge Trail, Maui, HI, USA",,Agraulis vanillae,Gulf Fritillary,49150,Animalia,Nymphalidae
9066632,2015-11-24,research,"California, US","Santa Clara, CA, USA",Columba livia domestica,Feral Pigeon,122767,Animalia,Columbidae
9066681,2016-02-06,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Lepus californicus,Black-tailed Jackrabbit,43130,Animalia,Leporidae
9066747,2016-03-09,research,"Mission Peak, Fremont, CA, USA",,Hippodamia convergens,Convergent Lady Beetle,48987,Animalia,Coccinellidae
9066748,2016-03-09,needs_id,"Mission Peak, Fremont, CA, USA",,Coccinella californica,California Lady Beetle,128712,Animalia,Coccinellidae
9067183,2016-04-24,needs_id,"Harvey Bear Ranch County Park, Santa Clara County, CA, USA",,Lycosidae,Wolf Spiders,47416,Animalia,Lycosidae
9067349,2016-06-05,research,"Purisima Creek Redwoods, San Mateo County, CA, USA",,Paeromopus angusticeps,,84714,Animalia,Paeromopodidae
9067363,2016-06-11,research,"Loch Lomond Recreation Area, Santa Cruz County, CA, USA",,Libellula luctuosa,Widow Skimmer,47934,Animalia,Libellulidae
9067707,2016-08-18,needs_id,"California, US","Santa Clara, CA, USA",Araneidae,Orbweavers,47535,Animalia,Araneidae
9067792,2016-09-18,research,"Peter's Creek Loop, Portola Redwoods, La Honda, CA, USA",,Phaeolus schweinitzii,Dyer's Polypore,118084,Fungi,Laetiporaceae
9067928,2016-09-18,needs_id,"Peter's Creek Loop, Portola Redwoods, San Mateo County, CA, USA",,Tracheophyta,vascular plants,211194,Plantae,
9070766,2017-01-01,research,"Foothills Park, Palo Alto, CA, USA",,Hericium erinaceus,lion's-mane mushroom,49158,Fungi,Hericiaceae
9070767,2017-01-01,research,"Foothills Park, Palo Alto, CA, USA",,Omphalotus olivascens,Western Jack-o'-Lantern,67752,Fungi,Omphalotaceae
9070886,2017-03-03,research,"California, US","Santa Clara, CA, USA",Nezara viridula,Southern Green Stink Bug,141725,Animalia,Pentatomidae
9070970,2017-03-08,research,"Monte Bello Open Space Preserve, Santa Clara County, CA, USA",,Pedicularis densiflora,Warrior's Plume,49645,Plantae,Orobanchaceae
9074002,2017-03-12,research,"Coyote Lake, Santa Clara County, CA, USA",,Fulica americana,American Coot,473,Animalia,Rallidae
9074150,2017-03-12,research,"Coyote Lake County Park, Santa Clara County, CA, USA",,Calandrinia menziesii,red maids,400267,Plantae,Montiaceae
9074190,2017-03-19,needs_id,"Calera Creek Trail, Ed R. Levin County Park, Milpitas, CA, USA",,Sinapis arvensis,Wild Mustard,53264,Plantae,Brassicaceae
9074231,2017-03-19,needs_id,"Monument Peak, Ed R. Levin County Park, Alameda County, CA, USA",,Bryopsida,true mosses,48372,Plantae,
9074244,2017-03-25,research,"Purisima Creek Redwoods Open Space Preserve, CA, USA",,Myosotis latifolia,broadleaf forget-me-not,49132,Plantae,Boraginaceae
9074259,2017-03-25,needs_id,"Purisima Creek Redwoods Open Space Preserve, San Mateo County, CA, USA",,Braconidae,Braconid Wasps,63187,Animalia,Braconidae
9074269,2017-03-25,needs_id,"Purisima Creek Redwoods Open Space Preserve, San Mateo County, CA, USA",,Genisteae,,548591,Plantae,Fabaceae
9089226,2015-12-05,research,"Calero Reservoir, San Jose, CA, USA",,Pelecanus erythrorhynchos,American White Pelican,4334,Animalia,Pelecanidae
9089254,2016-12-04,research,"Woods Trail, Sierra Azul Open Space Preserve, San Jose, CA, USA",,Heteromeles arbutifolia,Toyon,53405,Plantae,Rosaceae
9102800,2017-10-29,research,"Henry Coe SP, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Accipitridae
9102952,2017-06-14,needs_id,"Yosemite National Park, Mariposa County, CA, USA",,Tipulomorpha,Crane Flies,179916,Animalia,
9103043,2015-04-12,needs_id,"Almaden Quicksilver County Park, San Jose, CA, USA",,Euphydryas,,50896,Animalia,Nymphalidae
9103173,2007-06-22,research,"Arches National Park, UT, USA",,Sylvilagus audubonii,Desert Cottontail,43115,Animalia,Leporidae
9103213,2007-06-22,research,"Arches National Park, UT, USA",,Lepus californicus,Black-tailed Jackrabbit,43130,Animalia,Leporidae
9103964,2007-06-18,research,"Coral Pink Sand Dunes State Park, UT, USA",,Scabrethia scabra,Badlands Mule-ears,121786,Plantae,Asteraceae
9104357,2014-07-17,research,"Törbel, Switzerland",,Dianthus carthusianorum,Carthusian Pink,84960,Plantae,Caryophyllaceae
9104453,2014-07-22,research,"Lauterbrunnen, Switzerland",,Echium vulgare,viper's-bugloss,56174,Plantae,Boraginaceae
9105460,2017-10-21,research,"Alum Rock Park, San Jose, CA, USA",,Circus hudsonius,Northern Harrier,558446,Animalia,Accipitridae
9105511,2017-11-19,research,"Del Valle Regional Park, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Accipitridae
9112665,2017-05-20,needs_id,"Long Ridge Open Space Preserve, San Mateo County, CA, USA",,Pyrobombus,,538900,Animalia,Apidae
9118214,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Accipitridae
9118215,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Phalacrocorax auritus,Double-crested Cormorant,4265,Animalia,Phalacrocoracidae
9118216,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Accipitridae
9118217,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Passerculus sandwichensis,Savannah Sparrow,9981,Animalia,Passerellidae
9118218,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Phalacrocorax auritus,Double-crested Cormorant,4265,Animalia,Phalacrocoracidae
9118219,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Fulica americana,American Coot,473,Animalia,Rallidae
9118220,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Anas platyrhynchos,Mallard,6930,Animalia,Anatidae
9118221,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Aimophila ruficeps,Rufous-crowned Sparrow,9958,Animalia,Passerellidae
9118222,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Accipitridae
9118853,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Buteo lineatus,Red-shouldered Hawk,5206,Animalia,Accipitridae
9118854,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Cathartes aura,Turkey Vulture,4756,Animalia,Cathartidae
9118855,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Baccharis pilularis,coyote brush,53359,Plantae,Asteraceae
9118856,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Baccharis pilularis,coyote brush,53359,Plantae,Asteraceae
9118857,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Artemisia californica,California sagebrush,53357,Plantae,Asteraceae
9118858,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Centaurea calcitrapa,purple star-thistle,56865,Plantae,Asteraceae
9118859,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,42221,Animalia,Cervidae
9118860,2017-12-10,needs_id,"Ed R. Levin County Park, Milpitas, CA, USA",,Pinopsida,conifers,136329,Plantae,
9119142,2017-12-10,needs_id,"Ed R. Levin County Park, Milpitas, CA, USA",,Eucalyptus,eucalyptus,51815,Plantae,Myrtaceae
9119143,2017-12-10,needs_id,"Ed R. Levin County Park, Milpitas, CA, USA",,Eucalyptus,eucalyptus,51815,Plantae,Myrtaceae
9120974,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Zonotrichia leucophrys,White-crowned Sparrow,9176,Animalia,Passerellidae
9121404,2017-12-10,research,"Ed R. Levin County Park, Milpitas, CA, USA",,Heteromeles arbutifolia,Toyon,53405,Plantae,Rosaceae
9142113,2016-12-11,research,"Long Ridge Open Space Preserve, San Mateo County, CA, USA",,Taricha torosa,California Newt,27818,Animalia,Salamandridae
9142185,2015-12-11,research,"California, US","Santa Clara, CA, USA",Sciurus niger,Fox Squirrel,46020,Animalia,Sciuridae
9147711,2017-12-13,research,"Sierra Azul, Santa Clara County, CA, USA",,Eriodictyon californicum,California yerba santa,57095,Plantae,Boraginaceae
9186684,2017-12-14,needs_id,"California, US","Santa Clara, CA, USA",Bostrichoidea,"Carpet, Powderpost, and Deathwatch Beetles",47496,Animalia,
9186756,2017-12-17,research,"Sibley Volcanic Regional Preserve, Contra Costa County, CA, USA",,Umbellularia californica,California bay,48807,Plantae,Lauraceae
9186757,2017-12-17,needs_id,"Sibley Volcanic Regional Preserve, Contra Costa County, CA, USA",,Cotoneaster coriaceus,Late cotoneaster,411074,Plantae,Rosaceae
9187679,2017-12-17,research,"Sibley Volcanic Regional Preserve, Contra Costa County, CA, USA",,Buteo jamaicensis,Red-tailed Hawk,5212,Animalia,Accipitridae
9187680,2017-12-17,research,"Huckleberry Botanic Regional Preserve, Contra Costa County, CA, USA",,Dryopteris arguta,coastal woodfern,52671,Plantae,Dryopteridaceae
9187681,2017-12-17,research,"Huckleberry Botanic Regional Preserve, Contra Costa County, CA, USA",,Polystichum munitum,western sword fern,47751,Plantae,Dryopteridaceae
9187682,2017-12-17,needs_id,"California, US","Huckleberry Botanic Regional Preserve, Contra Costa County, CA, USA",Arctostaphylos pallida,Pallid manzanita,53355,Plantae,Ericaceae
9219054,2016-12-17,needs_id,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Stereum hirsutum,false turkey-tail,55501,Fungi,Stereaceae
9219055,2016-12-17,research,"Monte Bello Open Space Preserve, Palo Alto, CA, USA",,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,42221,Animalia,Cervidae
9219085,2014-12-21,research,"Henry W. Coe State Park, Santa Clara County, CA, USA",,Taricha torosa,California Newt,27818,Animalia,Salamandridae
9229051,2017-12-21,research,"Henry W. Coe State Park, CA, USA",,Heteromeles arbutifolia,Toyon,53405,Plantae,Rosaceae
9229052,2017-12-21,needs_id,"Henry W. Coe State Park, CA, USA",,Arctostaphylos manzanita,Common Manzanita,55137,Plantae,Ericaceae
9229053,2017-12-21,needs_id,"Henry W. Coe State Park, CA, USA",,Phoradendron villosum,oak mistletoe,343310,Plantae,Santalaceae
9229054,2017-12-21,research,"Henry W. Coe State Park, CA, USA",,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,42221,Animalia,Cervidae
9229055,2017-12-21,research,"Henry W. Coe State Park, CA, USA",,Callipepla californica,California Quail,1409,Animalia,Odontophoridae
9229056,2017-12-21,research,"Henry W. Coe State Park, CA, USA",,Melozone crissalis,California Towhee,73044,Animalia,Passerellidae
9326076,2017-12-31,needs_id,"Windy Hill Open Space Preserve, Portola Valley, CA, USA",,Rubus,brambles,47544,Plantae,Rosaceae
9326077,2017-12-31,needs_id,"Windy Hill Open Space Preserve, Portola Valley, CA, USA",,Bryophyta,mosses,311249,Plantae,
9326078,2017-12-31,needs_id,"Windy Hill Open Space Preserve, Portola Valley, CA, USA",,Ramalina,bushy lichens,48325,Fungi,Ramalinaceae
9326079,2017-12-31,research,"Windy Hill Open Space Preserve, Portola Valley, CA, USA",,Hypholoma fasciculare,Sulphur Tuft,48767,Fungi,Strophariaceae
9326080,2017-12-31,research,"Windy Hill Open Space Preserve, Portola Valley, CA, USA",,Melanerpes formicivorus,Acorn Woodpecker,18209,Animalia,Picidae
9328312,2017-12-31,research,"Windy Hill Open Space Preserve, Portola Valley, CA, USA",,Ramalina menziesii,lace lichen,49578,Fungi,Ramalinaceae
9328355,2017-12-28,research,"Pennsylvania, US","Monroe Township, Cumberland County, PA, USA",Junco hyemalis,Dark-eyed Junco,10094,Animalia,Passerellidae
9328523,2016-12-28,research,"Pennsylvania, US","Monroe Township, Cumberland County, PA, USA",Cathartes aura,Turkey Vulture,4756,Animalia,Cathartidae
9328567,2016-12-28,casual,"Pennsylvania, US","Monroe Township, Cumberland County, PA, USA",Hedera helix,common ivy,55882,Plantae,Araliaceae
9328608,2016-12-24,needs_id,"White Rocks Trail, Cumberland County, PA, USA",,Polytrichum,haircap mosses,67912,Plantae,Polytrichaceae
9389785,2014-01-05,research,"Pearson-Arastradero Preserve, Palo Alto, CA, USA",,Columba livia,Rock Pigeon,3017,Animalia,Columbidae
9399061,2018-01-07,needs_id,"Mt. Madonna County Park, Santa Clara County, CA, USA",,Mucorales,Pin Molds,123763,Fungi,
9399062,2018-01-07,needs_id,"Mt. Madonna County Park, Santa Clara County, CA, USA",,Arctostaphylos,bearberries and manzanitas,47179,Plantae,Ericaceae
9399063,2018-01-07,needs_id,"Mt. Madonna County Park, Santa Clara County, CA, USA",,Arctostaphylos,bearberries and manzanitas,47179,Plantae,Ericaceae
9399064,2018-01-07,needs_id,"Mt. Madonna County Park, Santa Clara County, CA, USA",,Ariolimax,Banana Slugs,47777,Animalia,Ariolimacidae
9399065,2018-01-07,research,"Mt. Madonna County Park, Santa Clara County, CA, USA",,Aleuria aurantia,orange peel fungus,48716,Fungi,Pyronemataceae
9399066,2018-01-07,needs_id,"Mt. Madonna County Park, Santa Clara County, CA, USA",,Psathyrella,Brittlestems,67745,Fungi,Psathyrellaceae
9435473,2018-01-07,research,"Mt. Madonna County Park, Santa Clara County, CA, USA",,Quercus agrifolia,coast live oak,47850,Plantae,Fagaceae
9476639,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Sturnella neglecta,Western Meadowlark,9535,Animalia,Icteridae
9476640,2018-01-14,needs_id,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Agaricales,gilled mushrooms,47167,Fungi,
9476641,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Sialia mexicana,Western Bluebird,12937,Animalia,Turdidae
9476642,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Cathartes aura,Turkey Vulture,4756,Animalia,Cathartidae
9476643,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Circus hudsonius,Northern Harrier,558446,Animalia,Accipitridae
9476645,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Circus hudsonius,Northern Harrier,558446,Animalia,Accipitridae
9476646,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Umbellularia californica,California bay,48807,Plantae,Lauraceae
9476647,2018-01-14,needs_id,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Lycosidae,Wolf Spiders,47416,Animalia,Lycosidae
9476648,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Falco sparverius,American Kestrel,4665,Animalia,Falconidae
9476649,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Falco sparverius,American Kestrel,4665,Animalia,Falconidae
9476650,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,42221,Animalia,Cervidae
9476651,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Odocoileus hemionus columbianus,Columbian Black-tailed Deer,42221,Animalia,Cervidae
9511439,2018-01-17,needs_id,"Sanborn County Park, Santa Clara County, CA, USA",,Formica,"Wood, Mound, and Field Ants",47339,Animalia,Formicidae
9526265,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Poecile rufescens,Chestnut-backed Chickadee,144820,Animalia,Paridae
9526310,2018-01-14,research,"La Honda Creek Open Space Preserve, San Mateo County, CA, USA",,Corvus corax,Common Raven,8010,Animalia,Corvidae
9557424,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",,Omphalotus olivascens,Western Jack-o'-Lantern,67752,Fungi,Omphalotaceae
9557425,2018-01-21,needs_id,"Coyote Lake, Santa Clara County, CA, USA",,Lycosidae,Wolf Spiders,47416,Animalia,Lycosidae
9557426,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",,Elanus leucurus,White-tailed Kite,5277,Animalia,Accipitridae
9557427,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",,Elanus leucurus,White-tailed Kite,5277,Animalia,Accipitridae
9557429,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",,Cardamine californica,milkmaids,49651,Plantae,Brassicaceae
9557430,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",,Cathartes aura,Turkey Vulture,4756,Animalia,Cathartidae
9557431,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",,Heteromeles arbutifolia,Toyon,53405,Plantae,Rosaceae
9557432,2018-01-21,research,"Coyote Lake, Santa Clara County, CA, USA",,Aphelocoma californica,California Scrub-Jay,506118,Animalia,Corvidae
